A fecha de,"03 dic 2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"PFCIBEST","GRUPO CIBEST PREF SA","Servicios Financieros","Equity","1.813.919.175.560,00","22,12","1.813.919.175.560,00","30.011.899,00","60.440,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"CIBEST","GRUPO CIBEST SA","Servicios Financieros","Equity","1.169.559.270.400,00","14,26","1.169.559.270.400,00","16.999.408,00","68.800,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"ISA","INTERCONEXION ELECTRICA SA","Servicios Públicos","Equity","750.686.408.200,00","9,16","750.686.408.200,00","29.554.583,00","25.400,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"ECOPETROL","ECOPETROL SA","Energía","Equity","628.683.651.040,00","7,67","628.683.651.040,00","329.153.744,00","1.910,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"GEB","GRUPO ENERGIA BOGOTA SA","Servicios Públicos","Equity","589.964.815.020,00","7,19","589.964.815.020,00","183.789.662,00","3.210,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"CEMARGOS","CEMENTOS ARGOS SA","Materiales","Equity","465.780.690.860,00","5,68","465.780.690.860,00","43.048.123,00","10.820,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"PFGRUPSURA","GRUPO DE INVERSIONES SURAMERICANA","Servicios Financieros","Equity","462.423.879.180,00","5,64","462.423.879.180,00","10.262.403,00","45.060,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"GRUPOSURA","GRUPO DE INVERSIONES SURAMERICANA","Servicios Financieros","Equity","449.130.193.200,00","5,48","449.130.193.200,00","8.301.852,00","54.100,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"GRUPOARGOS","INVERSIONES ARGOS SA","Materiales","Equity","374.184.616.200,00","4,56","374.184.616.200,00","21.504.863,00","17.400,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"PFGRUPOARG","INVERSIONES ARGOS PREF SA","Materiales","Equity","239.117.853.000,00","2,92","239.117.853.000,00","18.393.681,00","13.000,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"PFAVAL","GRUPO AVAL ACCIONES Y VALORES PREF","Servicios Financieros","Equity","216.128.217.240,00","2,64","216.128.217.240,00","277.087.458,00","780,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"PFDAVIGRP","DAVIVIENDA GROUP SA","Otro","Equity","199.126.000.680,00","2,43","199.126.000.680,00","6.611.089,00","30.120,00","Panamá","Bolsa De Valores De Colombia","COP","1,00","COP"
"CELSIA","CELSIA ESP SA","Servicios Públicos","Equity","152.075.668.800,00","1,85","152.075.668.800,00","31.355.808,00","4.850,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"PEI","PATRIMONIO ESTRATEGIAS INMOBIL REI","Inmobiliario","Equity","144.603.014.400,00","1,76","144.603.014.400,00","1.868.256,00","77.400,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"CORFICOLCF","CORPORACION FINANCIERA COLOMBIANA","Servicios Financieros","Equity","107.771.887.640,00","1,31","107.771.887.640,00","5.769.373,00","18.680,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"GRUBOLIVAR","GRUPO BOLIVAR SA","Servicios Financieros","Equity","97.519.379.000,00","1,19","97.519.379.000,00","1.089.602,00","89.500,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"MINEROS","MINEROS SA","Materiales","Equity","94.072.579.740,00","1,15","94.072.579.740,00","6.007.189,00","15.660,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"BOGOTA","BANCO DE BOGOTA SA","Servicios Financieros","Equity","63.465.047.520,00","0,77","63.465.047.520,00","1.656.186,00","38.320,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"PROMIGAS","PROMIGAS SA","Servicios Públicos","Equity","48.215.044.460,00","0,59","48.215.044.460,00","7.557.217,00","6.380,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"EXITO","ALMACENES EXITO SA","Consumo Frecuente","Equity","43.325.467.020,00","0,53","43.325.467.020,00","9.532.556,00","4.545,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"TERPEL","ORGANIZACION TERPEL SA","Consumo discrecional","Equity","42.223.324.560,00","0,51","42.223.324.560,00","2.415.522,00","17.480,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"COP","COP CASH","Efectivo y/o Derivados","Cash","21.462.192.455,99","0,26","21.462.192.455,99","21.462.192.456,00","100,00","Colombia","-","COP","1,00","COP"
"PFCORFICOL","CORPORACION FINANCIERA COLOMBIANA","Servicios Financieros","Equity","18.563.742.900,00","0,23","18.563.742.900,00","1.085.599,00","17.100,00","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"CNEC","CANACOL ENERGY LTD","Energía","Equity","6.927.475.000,00","0,08","6.927.475.000,00","1.385.495,00","5.000,00","Canadá","Bolsa De Valores De Colombia","COP","1,00","COP"
"ETB","EMPRESA DE TELECOMUNICACIONES DE B","Comunicación","Equity","581.540.625,00","0,01","581.540.625,00","12.506.250,00","46,50","Colombia","Bolsa De Valores De Colombia","COP","1,00","COP"
"AXL","ARROW EXPLORATION CORP","Energía","Equity","145.694.122,84","0,00","145.694.122,84","224.454,00","648,65","Canadá","TSX Venture Exchange","COP","0,00","CAD"
"-","Frontera Energy Corporation","Energía","Equity","0,00","0,00","0,00","16,00","0,00","Canadá","Bolsa De Valores De Colombia","COP","1,00","COP"
 